,id,url,author,title,content,board,date
0,1162260,https://www.ptt.cc/bbs/creditcard/M.1441038123.A.95A.html,s912912,[問題] 玉山icash卡(JCB)刷卡匯率疑問,"這是我最近收到的帳單

上面列出JCB匯率.但小弟我怎麼算都感覺對不太起來
http://i.imgur.com/CJvmEwZ.jpg
有的算起來約5.18 5.16 5.12

(但應該是都同一天清算.如圖.8/07早上消費.8/10號清算)

題外話...淘寶消費3%手續其實也還好.玉山5%就抵得差不多了

如果JCB刷人民幣比較差要考慮加辦visa了...

--
",creditcard,2015-09-01 00:21:59+00
1,1162271,https://www.ptt.cc/bbs/creditcard/M.1441057718.A.E49.html,gn01819359,[問題] 關於信用分數,"手上有一張額度八萬的卡

三個月前的某一天把它刷到見底

帳單寄來每個月最低應繳金額大約是兩千多

因為沒辦法一次還清 所以每個月都固定繳一萬

想問一下此繳款方式是否會影響信用分數?!




--
",creditcard,2015-09-01 05:48:35+00
2,1162277,https://www.ptt.cc/bbs/creditcard/M.1441268701.A.483.html,ohyouareapig,[心得] 元大鑽金臨時調額未過,"[職業]:資訊

[年齡]:36

[年資]:9年

[年收]:200M+

[檢附財力]:客服未要求重新檢附

[貸款]:無

[申請額度]:(元大鑽金卡)原額度20萬，申請暫時調額到60萬

[結果]:因為要刷房屋款，想說手邊這張回饋1.2%還不錯

       9/2晚上跟客服提出申請，9/3下午回覆婉拒

       又不是要調個幾百萬，等下期帳單結完以後來剪卡-_-

--
",creditcard,2015-09-03 16:24:58+00
3,1162279,https://www.ptt.cc/bbs/creditcard/M.1441205579.A.8C3.html,guianyinma,[心得] 元大鑽金卡 核卡,"[職業]醫療


[年資] 1年半


[年收] 550k


[檢附財力] 103扣繳憑單、1M 存款


[貸款] 無


[核卡額度] 80k


[已持有卡片及今年辦卡清單]

8/7核卡 花旗現金回饋白金卡

[辦卡流程]

8/14 填寫文件，以掛號寄出
8/18 收到簡訊，確認收件
8/23 照會電話
8/26 核卡+簡訊顯示卡片以掛號寄出
8/29 收到卡片


[心得]
上次分享核卡心得也順便詢問版友推薦的卡片作為主力。
從之前推薦的文章中可發現元大卡獲得最高票，雖然板上C大也推薦了
愛金卡，可我還是沒搞清楚愛金跟鑽金的差異(我想無腦1.2%還是比較適合我吧)。

從先前大家的心得可發現元大不外乎速度慢和額度低。小弟也已經有心理準備了:
所以這次除了附上扣繳憑單、另外附上1M證明。
沒想到額度是80K(好像略低..還是差不多呀)以上心得供各位參考


--
",creditcard,2015-09-02 22:52:55+00
4,1162291,https://www.ptt.cc/bbs/creditcard/M.1441327765.A.527.html,imrt,Re: [新聞] 全家繳帳單也能刷卡　台新首創再送刷卡金,"昨天繳電信費十分順利，

今天繳學雜費就不行了。

不同一組員工，

一直鬼打牆說POS機顯示只能現金繳。

但台新的九大類的確有包含學雜費。

他們會不會以為我是祕密客？ XDD

--
",creditcard,2015-09-04 08:49:23+00
5,1162302,https://www.ptt.cc/bbs/creditcard/M.1441285546.A.60C.html,Gua2010,[心得] 小白/元大鑽金、愛金；一銀悠遊,"[職業]：公司，法務專員

[工作年資]：１個月

[年齡]：23

[年收入]：360k

[申辦卡別]：
１、元大 鑽金VISA
２、元大 愛金JCB
３、一銀 悠遊JCB

[提供財力證明]：一個月薪轉單、他行定存100K、名下不動產

[貸款]：台銀學貸，還完了

[已持有信用卡額度]：無

[三個月內有無申辦]：無

[核卡額度]：三張都是30K ... XDD

[進度]：

１、元大、鑽金卡(Visa)
8/26  線上加辦，無加附財力證明
8/27  收到簡訊通知進件
9/2   網路查詢，顯示8/31審核通過
9/3   收到卡、下午收到簡訊

２、元大、愛金卡(JCB)
8/11  下午３點分行送件
8/14  顯示8/13進件，審核中
8/18  早上９點電話照會，確認基本資料(感覺像是默背 XDD
8/19 客服查詢，已核卡未製卡
8/22 網路顯示8/20審核通過
8/25 早上收到信用卡、下午收到審核通過寄送簡訊 XD

３、一銀、悠遊聯名卡(JCB)
8/19  平信郵筒寄件
8/27  網路查詢進件，審核中
9/1    電話照會確認資料，沒來的及抽9月份的 QAQ ... 10.11.12要加油
9/2    網路查詢已更新成審核完成(9/1;15:20)
9/3    收到卡片、下午收到簡訊

[心得]：

終於收到人生第一張卡－元大愛金卡。

會過其實有點意外雖然額度只是低低的30K，但總是讓我過了，比起富邦打槍我好多了  Q
AQ

愛金用來賺新戶禮 :-)

之後因為想要一張VISA卡，用在一般消費，所以加辦了鑽金卡，加辦比起龜速的愛金卡審
核完成超級快的！

另外一銀悠遊純粹是為了抽獎跟覺得悠遊信用卡可以自動加值很方便辦的  哈哈哈哈


以上，覺得完全被卡版推坑了  XDD
之後年底再衝富邦數位，希望可以過～～～～
對啊～QQ
辦過愛金後加辦鑽金。
",creditcard,2015-09-03 21:05:44+00
6,1162308,https://www.ptt.cc/bbs/creditcard/M.1441642407.A.C93.html,poge,[問題]元大鑽金Visa卡，出國竟然無法刷！,"文長，但請版友幫忙解答


上週到峇里島度蜜月，
剛好知道元大鑽金卡在第三季，到印尼消費有回饋3%的優惠，
立馬申請急件，也很快的在10天內收到卡片。
在出國前，我也在台灣使用了卡片消費過幾次，
曾經發生過2次無法刷卡的情形，
但當時櫃檯人員表示：”卡機比較舊，所以可能沒辦法讀取這麼新的卡“
後來再到其他店家消費，就沒了這種情形，
因此我不以為意，就沒打去詢問客服。

這卻導致，當我帶著新卡片，滿心歡喜的抵達峇里島時，
在6天的旅程中，這張卡片竟給了我極度不愉快的購物經驗...

第一天抵達飯店，需要提供信用卡並刷押金，
這時刷卡機就發出了聲音，連續換了3台卡機都是如此，
後來回房，我趕緊使用skype撥打免付費的客服（還好有Skype，讓我省一筆國際電話費）
客服回覆“他們都沒有收到任何刷卡的紀錄，因此不是被擋消費，而是卡機問題，
另外Visa卡一定要用晶片刷，如果晶片無法讀取，那磁條就不可能刷得過”

我得到這個答案之後，只能保佑接下來已訂好的店家，卡機都不會有問題。

結果6天之中，我總共需要使用到17次信用卡，但是元大鑽金卡只被接受“5次！！！”
我每次都要提醒櫃檯要使用晶片，但每次聽到卡機發出又逼逼聲，
我就陷入again的絕望當中，每次刷卡就像在抽機會卡與命運卡。

還好這5次消費還是有達到2萬回饋3%的門檻，不然我真的會捶心肝，
但扣掉300的急件費，好像也沒有划算到...


想問問版友，這種情形到底是卡片的問題，還是卡機的問題？？
我刷永豐的鈦豐卡(Master)都沒這問題，就算磁條膠條整個掀起來快壞掉，還是刷得過耶！
整個神蹟來著！

因為下個月還要再去一次峇里島，
希望能有版友幫忙解惑，
不然我就要剪卡，另尋新卡了><



--
剛剛打電話去客服問了，
說真的幫不了什麼忙，只能協助申請換卡。
目前手中擁有中信,國泰,渣打,華南,永豐,一銀,安泰,元大
其實可以刷的卡很多...但我就是大嬸精神，沒用到最划算的不甘心。

但剛剛客服有跟我提到pin碼的事情，可以隨意輸入4碼，或許可以過卡。

我就想到這次有幾次消費，遇過櫃檯要我輸入pin碼的事情，
但因為我沒有設定，所以就跟對方說明說沒有這組號碼。

但是成功過卡的5次經驗中，我只有最後一次有親眼看到櫃檯按下一個鍵後，
輸入幾個鍵後就刷卡成功了！

我老公就腦補說，或許成功的那五次，有可能是櫃檯有過這種經驗，
知道若隨意輸入4個pin碼就可以成功。

我不知道這是不是真的，只能等到新卡來，下個月再去時，
若遇到同樣的狀況，隨便輸入pin碼試試，才能知道這方法可不可行了...
",creditcard,2015-09-08 00:13:24+00
7,1162314,https://www.ptt.cc/bbs/creditcard/M.1443285546.A.9C4.html,o817152,信用卡核卡英文名稱和護照不同有關係嗎?,"今天收到了樂天信用卡核卡成功
但打開一看信用卡上的英文名稱和護照不一樣，不知道會不會有關係?
因為我辦這張卡是想要10月底去日本
1.用JCB換張東京鐵塔的門票
2.首刷可換取wifi5日免費的優惠

尤其是第2點想詢問有兌換過的鄉民，他租借時會核對護照和信用卡是否相符嗎？還是只
要提供信用卡公司給的序號就好!?

麻煩大家幫忙解答了!謝謝



--
Sent from my Android

--
",creditcard,2015-09-27 00:39:03+00
8,1162318,https://www.ptt.cc/bbs/creditcard/M.1441291553.A.082.html,Nose989,[心得] 凱基悠遊鈦金卡 核卡,"[職業] 工程師

[年齡] 26

[性別] 男

[年資] 3年

[年收入] 填800k

[申請卡別] 凱基悠遊鈦金卡

[提供之財力證明]  薪轉

[是否有貸款] 無

[核卡額度] : 200k

[心得] :

8/9 看到優惠到8/31 趕快上網申請

8/12 專員打來準備寄申請書

8/14 收到申請書

8/19 專員通知收到申請書 , 請專員務必於8/31前核卡

等等等..

8/26 至電專員確認進度 , 表示已送急件 , 安撫優惠延長到年底了

9/3 收到卡片


真的等好久啊...好險優惠有延長

不然差幾天沒優惠應該我就怒不開卡了

開始享受假日看電影的生活囉~

--
",creditcard,2015-09-03 22:45:49+00
9,1162319,https://www.ptt.cc/bbs/creditcard/M.1441291569.A.D11.html,jefflin555,Re: [情報] 華南月月刮紅利已經開始了,"想借標題問一下，七月份刮中的紅利點數各位板友是否已經入帳了？

APP活動辦法說明將於次月月中前入帳，但客服跟我說是明年一月月中以前@@


先感謝各位鄉民回答 ~

--
",creditcard,2015-09-03 22:46:02+00
