Date,iphone
2010-01,31
2010-02,29
2010-03,29
2010-04,32
2010-05,32
2010-06,53
2010-07,53
2010-08,51
2010-09,48
2010-10,46
2010-11,47
2010-12,49
2011-01,50
2011-02,47
2011-03,45
2011-04,46
2011-05,46
2011-06,46
2011-07,48
2011-08,50
2011-09,54
2011-10,79
2011-11,58
2011-12,61
2012-01,58
2012-02,51
2012-03,52
2012-04,48
2012-05,49
2012-06,51
2012-07,53
2012-08,57
2012-09,100
2012-10,62
2012-11,58
2012-12,62
2013-01,56
2013-02,53
2013-03,51
2013-04,48
2013-05,48
2013-06,50
2013-07,49
2013-08,52
2013-09,80
2013-10,54
2013-11,51
2013-12,53
2014-01,49
2014-02,47
2014-03,46
2014-04,46
2014-05,45
2014-06,45
2014-07,49
2014-08,52
2014-09,91
2014-10,59
2014-11,55
2014-12,56
2015-01,49
2015-02,46
2015-03,46
2015-04,45
2015-05,45
2015-06,46
2015-07,49
2015-08,50
2015-09,64
2015-10,54
2015-11,50
2015-12,54
2016-01,48
2016-02,45
2016-03,52
2016-04,48
2016-05,45
2016-06,46
2016-07,51
2016-08,51
2016-09,78
2016-10,57
2016-11,54
2016-12,55
2017-01,49
2017-02,44
2017-03,45
2017-04,45
2017-05,44
2017-06,45
2017-07,47
2017-08,49
2017-09,71
2017-10,56
